# File: AlexandriaLib/tables/HF-6-311G**.csv Date: 2017-10-08 14:52:19
#
# Quantum mechanic results for molecular dipole and Polarizability at 298.15K in the gas phase.
# Computed using HF/6-311G** method.
# References at the bottom of the file as comments.
#
# More information is on http://virtualchemistry.org
#
#|||||||||||dipole|||||Polarizability|||||
# Alexandria ID|Compound|Formula|Charge|Multiplicity|CAS no.|ChemSpider ID|PubChem ID|Rotatable Bonds|StdInChI|InChIkey||Exp.|Error|Ref.|HF/6-311G**||Exp.|Error|Ref.|HF/6-311G**||Filename|
614|pentafluoro-lambda-5-iodane|IF5|0|1|7783-66-6|455940||0|InChI=1S/F5I/c1-6(2,3,4)5|||2.18|0.00|38|3.20|||||4.49||iodine-pentafluoride
642|lithium bromide|LiBr|0|1|7550-35-8|74049||0|InChI=1S/BrH.Li/h1H;/q;+1/p-1|||7.27|0.00|38|7.66|||||3.59||lithium-bromide
643|lithium chloride|LiCl|0|1|7447-41-8|22449||0|InChI=1S/ClH.Li/h1H;/q;+1/p-1|||7.13|0.00|38|7.61|||||2.55||lithium-chloride
644|lithium fluoride|LiF|0|1|7789-24-4|23007||0|InChI=1S/FH.Li/h1H;/q;+1/p-1|||6.33|0.00|38|6.28|||||0.76||lithium-fluoride
647|lithium iodide|LiI|0|1|10377-51-2|59699||0|InChI=1S/HI.Li/h1H;/q;+1/p-1|||7.43|0.00|22|7.95|||||5.57||lithium-iodide
648|lithium potassium|KLi|0|1|12030-83-0|24770910||0|InChI=1S/K.Li/q2*+1|||3.45|0.00|38|4.40|||||51.09||lithium-potassium
649|lithium sodium|LiNa|0|1|12333-49-2|10612180||0|InChI=1S/Li.Na/q2*+1|||0.46|0.00|244|0.72|||||36.29||lithium-sodium
652|magnesium bromide chloride|BrClMg|0|1||9553450||0|InChI=1S/BrH.ClH.Mg/h2*1H;/q;;+2/p-2||||||0.25|||||6.04||magnesium-bromide-chloride
653|magnesium bromide fluoride|BrFMg|0|1||8009673||0|InChI=1S/BrH.FH.Mg/h2*1H;/q;;+2/p-2||||||0.03|||||4.11||magnesium-bromide-fluoride
655|magnesium dibromide|MgBr2|0|1|7789-48-2|74219||0|InChI=1S/2BrH.Mg/h2*1H;/q;;+2/p-2||||||0.00|||||7.03||magnesium-bromide
656|magnesium chloride fluoride|ClFMg|0|1|60175-01-1|126763||0|InChI=1S/ClH.FH.Mg/h2*1H;/q;;+2/p-2||||||0.26|||||3.17||magnesium-chloride-fluoride
658|magnesium dichloride|MgCl2|0|1|7786-30-3|22987||0|InChI=1S/2ClH.Mg/h2*1H;/q;;+2/p-2||||||0.00|||||5.04||magnesium-chloride
660|magnesium difluoride|MgF2|0|1|7783-40-6|22952||0|InChI=1S/2FH.Mg/h2*1H;/q;;+2/p-2||||||0.00|||||1.37||magnesium-fluoride
662|magnesium bromide iodide|BrIMg|0|1||10674920||0|InChI=1S/BrH.HI.Mg/h2*1H;/q;;+2/p-2||||||0.16|||||8.88||magnesium-iodide-bromide
663|magnesium chloride iodide|ClIMg|0|1||10674932||0|InChI=1S/ClH.HI.Mg/h2*1H;/q;;+2/p-2||||||0.42|||||7.86||magnesium-iodide-chloride
664|magnesium fluoride iodide|FIMg|0|1||8009793||0|InChI=1S/FH.HI.Mg/h2*1H;/q;;+2/p-2||||||0.11|||||5.82||magnesium-iodide-fluoride
666|magnesium diiodide|MgI2|0|1|10377-58-9|59700||0|InChI=1S/2HI.Mg/h2*1H;/q;;+2/p-2||||||0.00|||||10.80||magnesium-iodide
667|oxomagnesium|MgO|0|3|1309-48-4|14108|14792|0|InChI=1S/Mg.O|CPLXHLVBOLITMK-UHFFFAOYSA-N||6.20|0.00|38|3.37|||||7.15||magnesium-oxide
668|selenoxomagnesium|MgSe|0|1|1313-04-8|303381||0|InChI=1S/Mg.Se||||||8.86|||||11.80||magnesium-selenide
669|sulfanylidenemagnesium|MgS|0|1|12032-36-9|74738|82824|0|InChI=1S/Mg.S|SMDQFHZIWNYSMR-UHFFFAOYSA-N|||||9.50|||||10.45||magnesium-sulfide
711|argon neon|ArNe|0|1||11395777||0|InChI=1S/Ar.Ne||||||0.01|||||0.60||neon-argon
712|neon krypton|KrNe|0|1||11590772||0|InChI=1S/Kr.Ne||||||0.01|||||1.36||neon-krypton
715|nitric oxide|NO|0|2|10102-43-9|127983|145068|0|InChI=1S/NO/c1-2|MWUXSHHQAYIFBG-UHFFFAOYSA-N||0.15|0.00|22|0.20||1.70|0.00|243|1.08||nitric-oxide
719|azanylidynearsane|AsN|0|1||14676133||0|InChI=1S/AsN/c1-2||||||3.38|||||3.63||nitrogen-arsenide
720|nitrogen dioxide|NO2|0|2|10102-44-0|2297499||0|InChI=1S/NO2/c2-1-3|||0.31|0.00|22|0.66|||||1.89||nitrogen-dioxide
721|molecular nitrogen|N2|0|1|7727-37-9|922|947|0|InChI=1S/N2/c1-2|IJGRMHOSHXDMSA-UHFFFAOYSA-N||0.00|0.00|38|0.00||1.76|0.00|243|1.24||nitrogen
722|azanylidynephosphane|NP|0|1|17739-47-8|104952|117441|0|InChI=1S/NP/c1-2|AOPJVJYWEDDOBI-UHFFFAOYSA-N||2.75|0.00|19|3.10|||||2.91||phosphorus-nitride
724|trichloramine|Cl3N|0|1|10025-85-1|55361||0|InChI=1S/Cl3N/c1-4(2)3|||0.60|0.00|22|0.77|||||5.34||nitrogen-trichloride
725|trifluoroamine|F3N|0|1|7783-54-2|22959||0|InChI=1S/F3N/c1-4(2)3|||0.24|0.00|22|0.25||2.91|0.13|341|1.61||nitrogen-trifluoride
727|nitrosyl bromide|BrNO|0|1|13444-87-6|109908|123304|0|InChI=1S/BrNO/c1-2-3|BMNDJWSIKZECMH-UHFFFAOYSA-N||1.80|0.00|38|3.01|||||4.67||nitrosyl-bromide
728|nitrosyl chloride|ClNO|0|1|2696-92-6|16641|17601|0|InChI=1S/ClNO/c1-2-3|VPCDQGACGWYTMC-UHFFFAOYSA-N||1.90|0.00|22|2.88|||||3.53||nitrosyl-chloride
729|nitrosyl fluoride|FNO|0|1|7789-25-5|109874|123261|0|InChI=1S/FNO/c1-2-3|ZEIYBPGWHWECHV-UHFFFAOYSA-N||0.53|0.00|22|0.94|||||1.55||nitrosyl-fluoride
732|nitrous oxide|N2O|0|1|10024-97-2|923|948|0|InChI=1S/N2O/c1-2-3|GQPLMRYTRLFLPF-UHFFFAOYSA-N||0.16|0.00|38|0.72||3.00|0.00|243|2.00||nitrous-oxide
733|nitryl fluoride|FNO2|0|1|10022-50-1|59588||0|InChI=1S/FNO2/c1-2(3)4|||0.47|0.00|38|0.51|||||2.19||nitryl-fluoride
734|chloro(oxo)azane oxide|ClNO2|0|1|13444-90-1|10446393||0|InChI=1S/ClNO2/c2-1(3)4|||0.53|0.00|38|1.53|||||3.60||nitryl-chloride
748|molecular oxygen|O2|0|3|7782-44-7|952|977|0|InChI=1S/O2/c1-2|MYMOFIZGZYHOMD-UHFFFAOYSA-N||0.00|0.00|22|0.00||1.60|0.00|243|1.05||oxygen
752|ozone|O3|0|1|10028-15-6|23208|24823|0|InChI=1S/O3/c1-3-2|CBENFWSGALASAD-UHFFFAOYSA-N||0.54|0.00|22|0.87||2.84|0.08|341|2.03||ozone
762|perchlorate|ClO4-|-1|1|14797-73-0|109953|123351|0|InChI=1S/ClHO4/c2-1(3,4)5/h(H,2,3,4,5)/p-1|VLTRZXGMWDSKGL-UHFFFAOYSA-M|||||0.00|||||3.26||perchlorate
763|perchloryl fluoride|ClFO3|0|1|7616-94-6|22680|24258|0|InChI=1S/ClFO3/c2-1(3,4)5|XHFXMNZYIKFCPN-UHFFFAOYSA-N||0.02|0.00|22|0.30|||||3.09||perchloryl-fluoride
768|phosphate|O4P-3|-3|1|14265-44-2|1032|1061|0|InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3|NBIIXXVUZAFLBC-UHFFFAOYSA-K|||||0.00|||||3.79||phosphate
771|arsenic monophosphide|AsP|0|1|12255-33-3|||0|InChI=1S/AsP/c1-2||||||0.53|||||6.37||phosphor-arsenide
772|hexafluorophosphate|F6P-|-1|1|16919-18-9|9502|9886|0|InChI=1S/F6P/c1-7(2,3,4,5)6/q-1|LJQLCJWAZJINEB-UHFFFAOYSA-N|||||0.00|||||2.59||phosphor-hexafluoride
773|trichlorophosphane|Cl3P|0|1|7719-12-2|22798|24387|0|InChI=1S/Cl3P/c1-4(2)3|FAIAAWCVCHQXDN-UHFFFAOYSA-N||0.78|0.00|22|1.16||10.43|0.00|22|7.19||phosphorus-iii-chloride
774|trifluorophosphane|F3P|0|1|7783-55-3|56416|62665|0|InChI=1S/F3P/c1-4(2)3|WKFBZNUBXWCCHG-UHFFFAOYSA-N||1.03|0.00|38|1.66|||||2.56||phosphorus-iii-fluoride
775|phosphorus(V) oxychloride|Cl3OP|0|1|39380-77-3|23198||0|InChI=1S/Cl3OP/c1-5(2,3)4|||2.54|0.00|38|2.60|||||6.73||phosphorus-V-oxychloride
