Composition,Bandgap,theory_data,expt_data,Density_composition_average,n_ws^third_composition_average,ThermalExpansionCoefficient_difference,MiracleRadius_composition_average,IonizationEnergy_composition_average,ShearModulus_composition_average,ShearModulus_max_value,FirstIonizationEnergy_composition_average,NdValence_composition_average,IsNonmetal_composition_average,BCCfermi_composition_average,MendeleevNumber_arithmetic_average,IonicRadii_difference,GSbandgap_difference,BulkModulus_composition_average,Electronegativity_difference,BCCenergy_pa_composition_average,AtomicVolume_composition_average,HeatCapacityMolar_difference,ElectronAffinity_composition_average,ML PBE bandgap,cost,pbe_values
ZrW2,0,1,0,2.980216927,1.581614824,-0.819548194,0.829505529,-0.971199835,3.587152952,2.09327394,-1.033721643,0.054156737,-1.317701517,0.760278316,-0.879959684,-1.071235114,-0.362604448,2.53681185,-0.519101767,-4.128942314,-0.971527343,-0.648046449,-0.574477023,0,0.1,0
MnSnIr,0,1,0,2.259133572,1.341224796,-0.792728084,0.781603305,-0.79941041,2.977326931,3.062933679,-0.817855072,1.419139643,-1.317701517,1.895304121,0.252700769,-1.468496745,-0.362604448,1.841297672,-0.950514037,-1.697363366,-0.97162297,-0.546018286,-0.081463441,0,0.1,0
TiS3,0,1,0,-0.518578963,-1.09014863,-0.707425234,-0.03033939,-0.091905389,-0.420275183,-0.222036048,-0.086413515,-0.912706155,1.116107613,0.872195114,0.355669901,-0.872604298,-0.362604448,-0.428672473,-0.507748812,-0.155834289,-0.970408476,-0.486076741,0.870125993,0,0.1,0
Li6Mn9(PO4)8,2.9786,1,0,-0.814690608,-0.615487593,0.590556337,-0.67688877,0.742127111,-0.337320741,0.450789077,0.745301115,-0.80412797,1.042355821,-0.087437935,-0.313629457,1.386821228,0.685281895,-0.614043585,1.104370723,0.06208489,0.901413609,-0.078729303,0.046143207,0,0.1,2.9786
Rb3LuO3,2.0394,1,0,-0.669086854,-0.978293678,0.61570019,1.241464654,-0.595184734,-0.686962947,-0.558448611,-0.589981895,-1.034579629,0.073046557,-1.367847485,-1.120220992,-0.102909888,-0.362604448,-0.862167565,1.286017995,0.974161295,0.413790305,-0.251411968,-0.11987945,0,0.1,2.0394
RbFe(SeO4)2,2.2467,1,0,-0.803063502,-1.466187316,0.608995163,-0.595585631,0.955475285,-0.552819001,0.529944974,0.959527063,-0.343963278,1.38653085,-0.549402138,-0.107691193,1.088875005,0.152633206,-0.728256653,1.286017995,0.537831689,1.175629441,-0.026950011,0.535547939,0,0.1,2.2467
Na3BrO,2.3358,1,0,-0.911033359,-0.859374203,-0.821783203,0.201028352,-0.704245552,-0.757048491,-1.027447301,-0.698529588,-0.400837566,-0.019669981,-1.35603918,0.069644534,0.666784522,0.576946568,-0.926620717,1.161135496,1.327387059,-0.324716973,5.265760906,0.422679557,0,0.1,2.3358
K2LiFeO3,2.0402,1,0,-0.842962252,-0.68099499,0.608995163,0.543460821,-0.328540691,-0.35733687,0.529944974,-0.321188774,-0.790832682,0.073046557,-1.145245615,-1.635066652,0.716442226,-0.362604448,-0.540390455,1.286017995,0.579388802,0.410759266,-0.182542958,-0.141113203,0,0.1,2.0402
Te(HO)6,2.1169,1,0,-1.115312514,-0.446643016,-0.821783203,-2.112427974,1.680914723,-0.785021986,-0.776127328,1.682412607,-0.820832306,1.677755874,-0.555379231,2.014617029,-0.251883,4.701427213,-0.912254359,-0.167160178,0.840066389,2.002025143,-0.3218114,0.255591885,0,0.1,2.1169
CuO2,0,1,0,-0.41211243,-0.863495175,0.600241377,-0.837491862,0.930152551,-0.233593748,-0.142880151,0.933039782,0.054156737,0.845684376,-0.559185192,1.042130782,-0.00359448,-0.362604448,-0.199637373,0.059898911,0.559499325,1.174018947,-0.157290988,0.550667836,0,0.1,0
CaBeO3,0,1,0,-1.058980487,-0.80992254,0.609926417,-0.368050068,0.744328255,0.209961341,1.519393687,0.747535944,-1.083329019,0.629345787,-0.309446837,-0.456642141,0.691613374,-0.362604448,-0.494945852,1.081664814,0.70208521,0.960300552,0.862608029,-1.324345801,0,0.1,0
